round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
200,0.1471303697043692,0.0,0.660818716587379,0.15428348728011002,0.3090182930680376,0.6432160771072809,elu,28,0.5,200,20,0,glorot_normal,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.Nadam'>,brick
50,0.14713036600086424,0.0,0.6608187078732496,0.16784487230394354,0.0,0.6130653221403534,elu,20,0.5,50,30,0,glorot_uniform,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.SGD'>,funnel
100,0.2683303842419072,0.8390932679176331,0.9122807007086905,0.4596619215517787,0.8720960916586258,0.8919597959997666,relu,36,0.0,100,40,4,glorot_normal,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.Adadelta'>,brick
100,5.466956289190995,0.0,0.6608187211187262,0.9267953345224486,0.03417085021284957,0.6130653254350825,relu,36,0.8,100,10,4,glorot_uniform,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Nadam'>,brick
100,10.535026762220594,0.49677590354841356,0.3391812844583166,9.773723827534585,0.55099095007283,0.3869346733668342,relu,20,0.0,100,20,0,random_normal,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.Adam'>,funnel
50,0.1407745245255922,0.0,0.6608187211187262,0.11336632785223537,0.734210557075002,0.7035175852440111,elu,36,0.0,50,10,3,random_normal,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.SGD'>,brick
150,0.37599064610157795,0.8041178747924448,0.8947368448937846,0.5504649587013014,0.48937765857083115,0.7311557815901598,elu,20,0.8,150,10,3,random_normal,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.Nadam'>,brick
150,0.18235029473394287,0.899101199810965,0.9356725160141437,0.9425555157601534,0.8571386789556724,0.8844221090551597,relu,28,0.1,150,30,0,glorot_normal,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Nadam'>,triangle
150,5.466956236209088,0.0,0.660818716587379,6.195025616554759,0.10105516248611948,0.610552762920533,elu,28,0.5,150,40,5,glorot_uniform,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.SGD'>,brick
200,0.5572082337580229,0.35505428021414237,0.7660818633280302,0.1746488260713654,0.8765713120225685,0.9170854301308867,elu,12,0.0,200,30,4,random_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.SGD'>,funnel
150,5.466956361692551,0.0,0.6608187183302049,6.2040790481184,0.07130051849774979,0.6130653242369992,relu,44,0.5,150,30,2,glorot_normal,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Nadam'>,brick
50,0.27570946819601005,0.43533049375690214,0.3040935695171356,0.12114555291344772,0.09240646832552388,0.6080402019035877,relu,20,0.8,50,10,2,glorot_uniform,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.Adam'>,triangle
200,5.466956236209088,0.0,0.660818716587379,6.236650117078618,0.0,0.6130653272322075,relu,28,0.1,200,10,0,glorot_uniform,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.SGD'>,funnel
