round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
200,0.01964387403782702,0.9139631073377286,0.9532163770575273,0.054527858638405875,0.7871170121820728,0.8542713579820029,elu,20,0.5,200,20,1,random_uniform,sigmoid,logcosh,1,dense,<class 'keras.optimizers.SGD'>,triangle
200,0.15727728857980136,0.0,0.6374269000619476,0.17867804266250314,0.42769238277895366,0.58291456867103,elu,20,0.5,200,10,0,glorot_normal,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.SGD'>,triangle
200,0.015497357321069822,0.9079921799793578,0.9473684294181958,0.03675356287925724,0.8094513164692788,0.8944723683985034,relu,12,0.5,200,40,5,random_uniform,sigmoid,logcosh,1,dense,<class 'keras.optimizers.Adadelta'>,brick
100,0.15727728997406207,0.0,0.6374268953563177,0.1766017415565462,0.10056795913669932,0.5929648311593425,elu,28,0.3,100,10,0,glorot_uniform,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.Adam'>,brick
200,0.1033075030522737,0.9757258372697216,0.982456151853528,0.22019205482012064,0.8701666320987682,0.9045226250461598,relu,44,0.1,200,30,0,glorot_uniform,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.Adam'>,funnel
100,5.843987732602839,0.0,0.6374269124360112,4.306491123371987,0.0,0.623115576691364,relu,44,0.3,100,10,1,glorot_uniform,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.SGD'>,triangle
150,0.2765036217476192,0.5225643951293321,0.3625731035979868,0.19351247147699097,0.34494208780365376,0.4974874416787421,relu,20,0.5,150,10,1,glorot_normal,sigmoid,logcosh,1,dense,<class 'keras.optimizers.SGD'>,triangle
100,0.11718856085810744,0.9549471840523837,0.9707602408894321,0.2699106014965467,0.81740300080285,0.8844221075575556,elu,12,0.3,100,30,4,random_uniform,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Nadam'>,funnel
150,0.2991332662732978,0.9114771412129987,0.9356725243797079,0.42156533440153804,0.6864366657170818,0.8216080390029217,elu,44,0.3,150,10,1,random_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Adam'>,funnel
100,0.11398447422604811,0.0,0.6374269124360112,0.1190143736762617,0.0,0.6105527704085537,relu,44,0.3,100,30,2,glorot_uniform,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.Adam'>,funnel
50,0.15727729049690983,0.0,0.6374269065104032,0.1445700835867144,0.0,0.6231155763918431,elu,12,0.5,50,20,1,random_uniform,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Nadam'>,funnel
150,0.6552484035491943,0.0,0.6374269096474898,0.6797008011209306,0.19968832617429033,0.618090453159869,elu,36,0.5,150,40,3,glorot_normal,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Adadelta'>,triangle
200,0.04167089934803938,0.9154038732511955,0.9473684252354136,0.07020987398061321,0.7026383598246168,0.8241206084064503,relu,12,0.5,200,10,3,random_normal,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.SGD'>,brick
100,5.843987816258481,0.0,0.6374269096474898,5.343216431200804,0.3439688515573291,0.5502512613732611,elu,36,0.8,100,40,2,glorot_uniform,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.Adadelta'>,triangle
200,0.020857329202587146,0.9034875401279383,0.9356725296081855,0.03843838446328988,0.8404035083013564,0.8969849240240739,elu,44,0.5,200,30,5,random_normal,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.Adam'>,brick
150,10.162105855886002,0.5281522143305394,0.3625731051665301,9.586859674309965,0.5206352734386023,0.39698492237670935,relu,28,0.1,150,10,0,glorot_normal,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.SGD'>,brick
200,0.014286631460938799,0.946310207509158,0.9649122848845365,0.0267602779970378,0.8895922950164756,0.927135684981418,elu,12,0.1,200,10,4,random_uniform,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.Adam'>,funnel
