round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
200,4.0104266347478355,0.0,0.7511848344057093,3.5163730483188806,0.0064246968397615595,0.7228768794384491,relu,64,0.7,200,256,5,random_normal,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Nadam'>,triangle
150,0.48968137061991396,0.02606715997813437,0.7545023699507329,0.5435298354777801,0.2759730723549902,0.7442096707444034,elu,64,0.7,150,64,1,random_normal,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Adadelta'>,funnel
200,0.5234338318002167,0.5752807745436357,0.7876777257964509,0.36932140625089904,0.6537043422230469,0.815725315227493,elu,128,0.7,200,256,2,random_uniform,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Adadelta'>,triangle
200,0.42378778367245934,0.35738437482248553,0.7919431273406151,0.46451146421709566,0.32192567972960584,0.7466477040641921,elu,256,0.8,200,64,2,glorot_normal,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.Nadam'>,triangle
200,0.911976045285356,0.5201386191833641,0.761137440588802,0.25587104300883956,0.7801233223423344,0.8756603007149958,elu,32,0.3,200,256,1,glorot_uniform,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Adam'>,triangle
100,0.41720205474803795,0.6050212697960189,0.8075829386146147,0.4096944660057338,0.5857134014307508,0.80130028448566,relu,32,0.0,100,64,5,random_normal,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.SGD'>,funnel
150,1.5405700945741192,0.522893568633292,0.7582938395405268,0.12083567182122086,0.8952643626688555,0.943518894782448,elu,64,0.0,150,256,4,random_uniform,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.Adam'>,funnel
150,0.08522513711480732,0.5166138693902165,0.7606635073914912,0.03306882822570496,0.8293865063189492,0.9108086141906391,relu,128,0.0,150,64,0,random_normal,sigmoid,logcosh,4,dense,<class 'keras.optimizers.Nadam'>,brick
200,0.6565065204814712,0.0,0.7511848344057093,0.5966980797350285,0.0,0.7265339292243747,relu,64,0.8,200,64,5,random_normal,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.Nadam'>,brick
200,0.45923099178838506,0.09196402963021355,0.7616113746900695,0.47622525139777266,0.3243181583649838,0.7588378709053325,relu,256,0.6,200,256,4,random_normal,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Adam'>,funnel
150,0.06793958125944952,0.5937752984711344,0.7796208528545795,0.06396115949390284,0.6460454820956897,0.8132872814959697,relu,32,0.7,150,256,4,random_normal,sigmoid,logcosh,3,dense,<class 'keras.optimizers.Adadelta'>,triangle
200,0.06828235971136681,0.6180656244404508,0.7829383883996033,0.0903358822162439,0.46968517171227314,0.7436001624144563,elu,32,0.6,200,64,5,random_normal,sigmoid,logcosh,5,dense,<class 'keras.optimizers.Adam'>,triangle
150,0.4562403865900085,0.6170039621009645,0.7933649295879202,0.4245256479921887,0.6063697506915452,0.802722470370893,relu,128,0.3,150,128,5,glorot_normal,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.SGD'>,triangle
